2024-07-06T16:53:36-05:00
Running /Users/tnie/code/cpp/fftconv/build/clang-release/benchmark/bench_fftconv
Run on (8 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 1.93, 1.88, 1.98
-----------------------------------------------------------------------------
Benchmark                                   Time             CPU   Iterations
BM_convolve<float>/1664/35              44260 ns        44097 ns        15926
BM_convolve<float>/2304/35              68718 ns        68496 ns        10159
BM_convolve<float>/2816/35              38549 ns        38400 ns        18275
BM_convolve<float>/3326/35              20666 ns        20580 ns        34022
BM_convolve<float>/4352/35             117962 ns       117537 ns         5959
BM_convolve<float>/1000/65              12975 ns        12902 ns        55288
BM_convolve<float>/1664/65               9958 ns         9919 ns        70530
BM_convolve<float>/2304/65              52567 ns        52400 ns        12761
BM_convolve<float>/2816/65              16498 ns        16440 ns        42545
BM_convolve<float>/3326/65              92517 ns        92162 ns         7593
BM_convolve<float>/4352/65              61935 ns        61716 ns        11331
BM_convolve<float>/1000/95              35852 ns        35710 ns        19372
BM_convolve<float>/1664/95              51495 ns        51331 ns        13436
BM_convolve<float>/2304/95              58203 ns        57979 ns        12037
BM_convolve<float>/2816/95              66337 ns        65770 ns        10575
BM_convolve<float>/3326/95              43516 ns        43324 ns        16168
BM_convolve<float>/4352/95              64890 ns        64712 ns        10774
BM_arma_conv<double>/1000/15             4520 ns         4509 ns       121532
BM_arma_conv<double>/1664/15             7429 ns         7402 ns        94408
BM_arma_conv<double>/2304/15            10239 ns        10203 ns        68068
BM_arma_conv<double>/2816/15            12791 ns        12698 ns        55609
BM_arma_conv<double>/3326/15            14702 ns        14654 ns        47618
BM_arma_conv<double>/4352/15            19332 ns        19264 ns        34302
BM_arma_conv<double>/1000/35             8590 ns         8567 ns        79666
BM_arma_conv<double>/1664/35            14050 ns        13982 ns        46111
BM_arma_conv<double>/2304/35            19308 ns        19236 ns        35827
BM_arma_conv<double>/2816/35            23493 ns        23397 ns        29953
BM_arma_conv<double>/3326/35            27658 ns        27560 ns        25437
BM_arma_conv<double>/4352/35            38432 ns        38220 ns        19410
BM_arma_conv<double>/1000/65            12516 ns        12474 ns        42363
BM_arma_conv<double>/1664/65            22475 ns        22390 ns        30981
BM_arma_conv<double>/2304/65            35147 ns        35014 ns        24365
BM_arma_conv<double>/2816/65            44392 ns        44242 ns        19147
BM_arma_conv<double>/3326/65            39470 ns        39324 ns        19404
BM_arma_conv<double>/4352/65            52941 ns        52797 ns        11068
BM_arma_conv<double>/1000/95            16510 ns        16435 ns        44068
BM_arma_conv<double>/1664/95            26282 ns        26166 ns        25940
BM_arma_conv<double>/2304/95            37359 ns        37203 ns        20104
BM_arma_conv<double>/2816/95            45230 ns        44829 ns        16390
BM_arma_conv<double>/3326/95            51658 ns        51508 ns        12783
BM_arma_conv<double>/4352/95            68057 ns        67843 ns        10361
BM_arma_conv<float>/1000/15              4427 ns         4409 ns       160066
BM_arma_conv<float>/1664/15              7283 ns         7258 ns        96317
BM_arma_conv<float>/2304/15             10033 ns         9979 ns        64602
BM_arma_conv<float>/2816/15             12229 ns        12169 ns        57527
BM_arma_conv<float>/3326/15             14576 ns        14473 ns        48773
BM_arma_conv<float>/4352/15             18811 ns        18738 ns        37527
BM_arma_conv<float>/1000/35             40612 ns        40459 ns        17338
BM_arma_conv<float>/1664/35             66608 ns        66383 ns        10482
BM_arma_conv<float>/2304/35             93607 ns        92398 ns         7644
BM_arma_conv<float>/2816/35            111726 ns       111345 ns         6279
BM_arma_conv<float>/3326/35            131685 ns       131248 ns         5333
BM_arma_conv<float>/4352/35            172211 ns       171463 ns         4087
BM_arma_conv<float>/1000/65             54689 ns        54524 ns        12754
BM_arma_conv<float>/1664/65             88806 ns        88486 ns         7889
BM_arma_conv<float>/2304/65            121695 ns       121254 ns         5765
BM_arma_conv<float>/2816/65            147825 ns       147388 ns         4754
BM_arma_conv<float>/3326/65            174386 ns       173870 ns         4040
BM_arma_conv<float>/4352/65            226780 ns       225963 ns         3095
BM_arma_conv<float>/1000/95             69386 ns        69088 ns        10090
BM_arma_conv<float>/1664/95            111547 ns       111109 ns         6303
BM_arma_conv<float>/2304/95            154306 ns       153351 ns         4633
BM_arma_conv<float>/2816/95            184125 ns       183440 ns         3816
BM_arma_conv<float>/3326/95            216666 ns       215872 ns         3251
BM_arma_conv<float>/4352/95            281285 ns       280165 ns         2502
BM_arma_conv_same<double>/1000/15        4669 ns         4653 ns       151109
BM_arma_conv_same<double>/1664/15        7748 ns         7723 ns        90400
BM_arma_conv_same<double>/2304/15       10747 ns        10704 ns        66297
BM_arma_conv_same<double>/2816/15       12994 ns        12956 ns        54933
BM_arma_conv_same<double>/3326/15       15320 ns        15262 ns        46101
BM_arma_conv_same<double>/4352/15       19946 ns        19863 ns        35280
BM_arma_conv_same<double>/1000/35        8819 ns         8786 ns        79713
BM_arma_conv_same<double>/1664/35       14608 ns        14540 ns        48382
BM_arma_conv_same<double>/2304/35       19707 ns        19635 ns        34791
BM_arma_conv_same<double>/2816/35       24079 ns        23975 ns        28857
BM_arma_conv_same<double>/3326/35       28978 ns        28871 ns        24850
BM_arma_conv_same<double>/4352/35       36850 ns        36723 ns        18390
BM_arma_conv_same<double>/1000/65       17654 ns        17602 ns        54870
BM_arma_conv_same<double>/1664/65       20379 ns        20270 ns        26224
BM_arma_conv_same<double>/2304/65       28782 ns        28618 ns        25925
BM_arma_conv_same<double>/2816/65       36026 ns        35621 ns        20459
BM_arma_conv_same<double>/3326/65       51153 ns        51049 ns        10000
BM_arma_conv_same<double>/4352/65       75193 ns        74869 ns        12127
BM_arma_conv_same<double>/1000/95       16904 ns        16836 ns        43702
BM_arma_conv_same<double>/1664/95       26657 ns        26496 ns        24760
BM_arma_conv_same<double>/2304/95       35752 ns        35615 ns        20046
BM_arma_conv_same<double>/2816/95       44283 ns        44133 ns        14968
BM_arma_conv_same<double>/3326/95       54732 ns        54536 ns        12381
BM_arma_conv_same<double>/4352/95       68247 ns        67996 ns        10503
BM_arma_conv_same<float>/1000/15         4525 ns         4505 ns       156009
BM_arma_conv_same<float>/1664/15         7734 ns         7527 ns        93977
BM_arma_conv_same<float>/2304/15        10245 ns        10205 ns        68754
BM_arma_conv_same<float>/2816/15        12827 ns        12725 ns        56577
BM_arma_conv_same<float>/3326/15        14693 ns        14642 ns        47985
BM_arma_conv_same<float>/4352/15        19166 ns        19092 ns        36828
BM_arma_conv_same<float>/1000/35        40780 ns        40641 ns        17249
BM_arma_conv_same<float>/1664/35        66702 ns        66515 ns        10442
BM_arma_conv_same<float>/2304/35        91992 ns        91575 ns         7633
BM_arma_conv_same<float>/2816/35       111976 ns       111586 ns         6265
BM_arma_conv_same<float>/3326/35       132050 ns       131560 ns         5324
BM_arma_conv_same<float>/4352/35       172373 ns       171761 ns         4082
BM_arma_conv_same<float>/1000/65        54801 ns        54638 ns        12724
BM_arma_conv_same<float>/1664/65        88998 ns        88649 ns         7870
BM_arma_conv_same<float>/2304/65       121932 ns       121451 ns         5759
BM_arma_conv_same<float>/2816/65       151659 ns       150721 ns         4747
BM_arma_conv_same<float>/3326/65       174504 ns       173734 ns         4032
BM_arma_conv_same<float>/4352/65       227507 ns       226555 ns         3098
BM_arma_conv_same<float>/1000/95        70107 ns        69809 ns         9744
BM_arma_conv_same<float>/1664/95       111725 ns       111312 ns         6288
BM_arma_conv_same<float>/2304/95       152041 ns       151519 ns         4617
BM_arma_conv_same<float>/2816/95       184392 ns       183686 ns         3815
BM_arma_conv_same<float>/3326/95       216585 ns       215944 ns         3243
BM_arma_conv_same<float>/4352/95       281932 ns       280893 ns         2499
