2024-07-06T16:00:39-05:00
Running /Users/tnie/code/cpp/fftconv/build/clang-release/benchmark/bench_fftconv
Run on (8 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 1.79, 3.82, 3.81
-----------------------------------------------------------------------------
Benchmark                                   Time             CPU   Iterations
BM_arma_conv<double>/1000/65            11782 ns        11747 ns        62747
BM_arma_conv<double>/1664/65            18067 ns        18012 ns        38877
BM_arma_conv<double>/2304/65            25882 ns        25807 ns        26881
BM_arma_conv<double>/2816/65            30339 ns        30249 ns        21310
BM_arma_conv<double>/3326/65            36674 ns        36578 ns        19392
BM_arma_conv<double>/4352/65            48753 ns        48621 ns        14262
BM_arma_conv<double>/1000/95            16171 ns        16124 ns        44598
BM_arma_conv<double>/1664/95            25526 ns        25447 ns        27004
BM_arma_conv<double>/2304/95            34740 ns        34642 ns        20461
BM_arma_conv<double>/2816/95            43101 ns        42971 ns        16711
BM_arma_conv<double>/3326/95            50382 ns        50193 ns        13688
BM_arma_conv<double>/4352/95            66863 ns        65507 ns        10563
BM_arma_conv<float>/1000/15              4416 ns         4402 ns       159153
BM_arma_conv<float>/1664/15              7242 ns         7222 ns        96171
BM_arma_conv<float>/2304/15             10130 ns        10057 ns        70022
BM_arma_conv<float>/2816/15             12183 ns        12145 ns        57513
BM_arma_conv<float>/3326/15             14384 ns        14343 ns        48822
BM_arma_conv<float>/4352/15             18791 ns        18724 ns        37391
BM_arma_conv<float>/1000/35             40627 ns        40497 ns        17333
BM_arma_conv<float>/1664/35             66548 ns        66345 ns        10495
BM_arma_conv<float>/2304/35             91529 ns        91337 ns         7584
BM_arma_conv<float>/2816/35            111700 ns       111312 ns         6276
BM_arma_conv<float>/3326/35            131684 ns       131203 ns         5336
BM_arma_conv<float>/4352/35            171787 ns       171241 ns         4090
BM_arma_conv<float>/1000/65             54663 ns        54508 ns        12737
BM_arma_conv<float>/1664/65             89849 ns        89157 ns         7893
BM_arma_conv<float>/2304/65            121543 ns       121181 ns         5670
BM_arma_conv<float>/2816/65            147921 ns       147491 ns         4751
BM_arma_conv<float>/3326/65            173899 ns       173396 ns         4037
BM_arma_conv<float>/4352/65            227248 ns       226511 ns         3099
BM_arma_conv<float>/1000/95             69289 ns        69079 ns        10110
BM_arma_conv<float>/1664/95            111362 ns       111003 ns         6313
BM_arma_conv<float>/2304/95            151881 ns       151260 ns         4628
BM_arma_conv<float>/2816/95            183939 ns       183397 ns         3819
BM_arma_conv<float>/3326/95            216303 ns       215524 ns         3252
BM_arma_conv<float>/4352/95            281074 ns       280133 ns         2498
BM_arma_conv_same<double>/1000/15        4746 ns         4728 ns       150385
BM_arma_conv_same<double>/1664/15        7679 ns         7659 ns        91166
BM_arma_conv_same<double>/2304/15       10662 ns        10633 ns        66233
BM_arma_conv_same<double>/2816/15       13010 ns        12962 ns        53544
BM_arma_conv_same<double>/3326/15       15337 ns        15306 ns        46394
BM_arma_conv_same<double>/4352/15       19903 ns        19851 ns        35296
